Method,Features,Accuracy,F1,ROC-AUC,CPU(ms),Memory,Battery (m%),Total Time  (Avg),Device Feasibility,Comments
XGBoost,"Manifest perms, intents, APIs",0.9372,0.8884,0.9913,97.400000000000006,0.02 MB,477.102,100.0 ms,low,Strong AUC; heaviest parse cost
1D-CNN,Last 1024 APK bytes,0.9005,0.8486,0.9592,1.7,0.01 MB,8.433,1.7 ms,low,Byte-tail CNN; tier-4 fallback
MLP-H,"Dex header, sum-pooled",0.9686,0.9478,0.9675,0.69999999999999996,0.01 MB,1.997,0.4 ms,high,Best speed-accuracy; cascade fallback
Dex+Manifest ASCNN,Dex header + manifest BoW,0.9411,0.9064,0.9685,7.7999999999999998,0.03 MB,36.045,7.9 ms,medium,MSFDroid fused; tier-3 deployed
Dex+Manifest Dual,"Dex header + manifest, dual-branch",0.9686,0.9483,0.9805,7.9000000000000004,0.02 MB,36.840,7.9 ms,medium,Dual-branch fusion; ablation-only
LinRegDroid,Manifest permission flags,0.9175,0.8645,0.9259,1,0.00 MB,3.008,0.7 ms,low,Linear baseline; permission-only
MLDP-pruned,MLDP-selected permissions,0.9319,0.8855,0.9017,0.59999999999999998,0.00 MB,1.610,0.4 ms,medium,Tiny tier-1 gate; early exit
Broadcast+MLDP,MLDP perms + receiver actions,0.9359,0.8928,0.9373,1.1000000000000001,0.00 MB,1.760,0.4 ms,medium,Hybrid tier-1; receiver-aware filter
MLDP+Dex Cascade,MLDP perms + dex header,0.9581,0.9298,0.9469,0.80000000000000004,0.01 MB,4.919,0.4 ms,high,Tier-2 fuse; strong mid-cost
Dex+Broadcast Fusion,Dex header + receiver actions,0.9699,0.9503,0.9794,0.90000000000000002,0.01 MB,2.362,0.5 ms,high,Peak accuracy; not in cascade
DroidCat,,0.9739,0.9783,0.98,,,,,,
SeqMobile,,0.9767,0.9766,,,,,,low,
